File: 2000 grafi
CPU: 45.3% | Memory: 2303.63 MB
CPU: 44.6% | Memory: 2304.47 MB
CPU: 27.7% | Memory: 2304.47 MB
CPU: 50.8% | Memory: 2304.47 MB
CPU: 90.6% | Memory: 2304.47 MB
CPU: 75.0% | Memory: 2304.86 MB
CPU: 67.7% | Memory: 2304.86 MB
CPU: 46.2% | Memory: 2304.86 MB
CPU: 29.2% | Memory: 2304.84 MB
CPU: 50.0% | Memory: 2304.84 MB
CPU: 43.1% | Memory: 2304.84 MB
CPU: 34.4% | Memory: 2305.39 MB
CPU: 75.4% | Memory: 2305.39 MB
CPU: 68.8% | Memory: 2305.46 MB
CPU: 32.3% | Memory: 2305.46 MB
CPU: 48.4% | Memory: 2305.91 MB
CPU: 47.7% | Memory: 2305.91 MB
CPU: 24.6% | Memory: 2305.91 MB
CPU: 23.1% | Memory: 2305.91 MB
CPU: 36.9% | Memory: 2305.91 MB
CPU: 56.9% | Memory: 2306.28 MB
CPU: 54.7% | Memory: 2306.30 MB
CPU: 20.0% | Memory: 2306.30 MB
CPU: 26.1% | Memory: 2306.30 MB
CPU: 60.9% | Memory: 2306.30 MB
CPU: 33.9% | Memory: 2306.64 MB
CPU: 32.3% | Memory: 2306.64 MB
CPU: 23.4% | Memory: 2306.64 MB
CPU: 24.6% | Memory: 2306.64 MB
CPU: 23.4% | Memory: 2306.64 MB
CPU: 56.2% | Memory: 2307.06 MB
CPU: 47.7% | Memory: 2307.06 MB
CPU: 33.8% | Memory: 2307.06 MB
CPU: 28.1% | Memory: 2307.06 MB
CPU: 44.0% | Memory: 2307.06 MB
CPU: 59.4% | Memory: 2307.56 MB
CPU: 17.2% | Memory: 2307.56 MB
CPU: 43.1% | Memory: 2307.56 MB
CPU: 29.2% | Memory: 2307.56 MB
CPU: 31.2% | Memory: 2307.56 MB
CPU: 27.7% | Memory: 2307.96 MB
CPU: 46.9% | Memory: 2308.26 MB
CPU: 32.8% | Memory: 2308.26 MB
CPU: 21.9% | Memory: 2308.26 MB
CPU: 20.3% | Memory: 2308.25 MB
CPU: 36.9% | Memory: 2309.98 MB
CPU: 73.9% | Memory: 2309.98 MB
CPU: 32.8% | Memory: 2309.98 MB
CPU: 31.2% | Memory: 2309.98 MB
CPU: 26.6% | Memory: 2309.98 MB
CPU: 47.7% | Memory: 2310.51 MB
CPU: 47.7% | Memory: 2310.51 MB
CPU: 18.8% | Memory: 2310.51 MB
CPU: 25.0% | Memory: 2310.51 MB
CPU: 15.4% | Memory: 2310.51 MB
CPU: 60.9% | Memory: 2311.28 MB
CPU: 18.5% | Memory: 2311.28 MB
CPU: 12.5% | Memory: 2311.28 MB
CPU: 20.3% | Memory: 2311.28 MB
CPU: 49.2% | Memory: 2311.28 MB
CPU: 65.6% | Memory: 2311.72 MB
CPU: 62.5% | Memory: 2312.18 MB
CPU: 33.9% | Memory: 2312.18 MB
CPU: 35.9% | Memory: 2312.11 MB
CPU: 46.1% | Memory: 2312.11 MB
CPU: 16.9% | Memory: 2312.48 MB
CPU: 18.5% | Memory: 2312.48 MB
CPU: 32.3% | Memory: 2312.48 MB
CPU: 32.3% | Memory: 2312.48 MB
CPU: 32.8% | Memory: 2312.48 MB
CPU: 35.4% | Memory: 2313.31 MB
CPU: 21.9% | Memory: 2313.31 MB
CPU: 27.7% | Memory: 2313.31 MB
CPU: 29.7% | Memory: 2313.29 MB
CPU: 30.8% | Memory: 2313.29 MB
CPU: 39.1% | Memory: 2313.67 MB
CPU: 41.5% | Memory: 2313.67 MB
CPU: 35.9% | Memory: 2313.67 MB
CPU: 26.6% | Memory: 2313.67 MB
CPU: 36.9% | Memory: 2313.67 MB
CPU: 64.6% | Memory: 2314.99 MB
CPU: 40.6% | Memory: 2314.94 MB
CPU: 31.2% | Memory: 2314.94 MB
CPU: 24.6% | Memory: 2314.94 MB
CPU: 13.8% | Memory: 2314.94 MB
CPU: 18.8% | Memory: 2315.23 MB
CPU: 17.2% | Memory: 2315.23 MB
CPU: 3.1% | Memory: 2315.23 MB
CPU: 64.7% | Memory: 2315.23 MB
CPU: 27.7% | Memory: 2315.23 MB
CPU: 27.7% | Memory: 2315.53 MB
CPU: 58.4% | Memory: 2315.53 MB
CPU: 23.4% | Memory: 2315.53 MB
CPU: 50.8% | Memory: 2315.53 MB
CPU: 35.9% | Memory: 2315.53 MB
CPU: 40.0% | Memory: 2315.84 MB
CPU: 55.4% | Memory: 2315.84 MB
CPU: 40.6% | Memory: 2318.12 MB
CPU: 47.7% | Memory: 2318.24 MB
CPU: 26.6% | Memory: 2318.24 MB
CPU: 56.2% | Memory: 2318.71 MB
CPU: 41.6% | Memory: 2318.71 MB
CPU: 29.7% | Memory: 2318.71 MB
CPU: 6.2% | Memory: 2318.71 MB
CPU: 32.8% | Memory: 2318.66 MB
CPU: 46.1% | Memory: 2318.95 MB
CPU: 45.3% | Memory: 2318.93 MB
CPU: 30.8% | Memory: 2318.93 MB
CPU: 48.4% | Memory: 2318.93 MB
CPU: 50.8% | Memory: 2318.93 MB
CPU: 35.9% | Memory: 2318.93 MB
CPU: 53.9% | Memory: 2319.23 MB
CPU: 30.8% | Memory: 2319.23 MB
CPU: 46.9% | Memory: 2319.24 MB
CPU: 72.4% | Memory: 2319.45 MB
CPU: 26.1% | Memory: 2319.45 MB
CPU: 33.8% | Memory: 2319.73 MB
CPU: 36.9% | Memory: 2319.73 MB
CPU: 39.1% | Memory: 2319.73 MB
CPU: 36.9% | Memory: 2319.73 MB
CPU: 60.0% | Memory: 2319.92 MB
CPU: 31.2% | Memory: 2320.23 MB
CPU: 32.3% | Memory: 2320.23 MB
CPU: 54.7% | Memory: 2320.23 MB
CPU: 46.1% | Memory: 2320.23 MB
CPU: 53.9% | Memory: 2320.18 MB
CPU: 43.1% | Memory: 2320.46 MB
CPU: 31.2% | Memory: 2320.46 MB
CPU: 26.6% | Memory: 2320.46 MB
CPU: 80.0% | Memory: 2320.46 MB
CPU: 78.1% | Memory: 2320.46 MB
CPU: 75.4% | Memory: 2320.76 MB
CPU: 32.3% | Memory: 2320.76 MB
CPU: 26.6% | Memory: 2320.76 MB
CPU: 43.1% | Memory: 2320.76 MB
CPU: 45.3% | Memory: 2320.76 MB
CPU: 38.4% | Memory: 2321.05 MB
CPU: 48.4% | Memory: 2321.05 MB
CPU: 36.9% | Memory: 2321.05 MB
CPU: 69.2% | Memory: 2321.05 MB
CPU: 78.1% | Memory: 2321.13 MB
CPU: 53.1% | Memory: 2321.42 MB
CPU: 50.8% | Memory: 2321.40 MB
CPU: 75.4% | Memory: 2321.40 MB
CPU: 58.4% | Memory: 2321.40 MB
CPU: 78.5% | Memory: 2321.40 MB
CPU: 52.3% | Memory: 2321.70 MB
CPU: 36.9% | Memory: 2321.70 MB
CPU: 54.7% | Memory: 2321.70 MB
CPU: 36.9% | Memory: 2321.70 MB
CPU: 40.0% | Memory: 2321.98 MB
CPU: 83.1% | Memory: 2321.98 MB
CPU: 79.7% | Memory: 2321.98 MB
CPU: 69.2% | Memory: 2321.98 MB
CPU: 47.7% | Memory: 2321.98 MB
CPU: 52.3% | Memory: 2322.25 MB
CPU: 60.9% | Memory: 2322.25 MB
CPU: 58.4% | Memory: 2322.25 MB
CPU: 53.1% | Memory: 2322.25 MB
CPU: 64.7% | Memory: 2322.38 MB
CPU: 58.4% | Memory: 2322.62 MB
CPU: 43.1% | Memory: 2322.59 MB
CPU: 47.7% | Memory: 2322.59 MB
CPU: 49.2% | Memory: 2322.59 MB
CPU: 52.3% | Memory: 2322.88 MB
CPU: 50.0% | Memory: 2322.88 MB
CPU: 47.7% | Memory: 2322.88 MB
CPU: 41.5% | Memory: 2322.85 MB
