File: prefix_log_2000.csv (46452 nodi)
Prova 1
CPU: 32.3% | Memory: 1237.38 MB
CPU: 17.2% | Memory: 1237.39 MB
CPU: 44.6% | Memory: 1237.39 MB
CPU: 55.4% | Memory: 1237.40 MB
CPU: 53.1% | Memory: 1237.41 MB
CPU: 43.1% | Memory: 1237.41 MB
CPU: 30.8% | Memory: 1237.41 MB
CPU: 35.9% | Memory: 1237.41 MB
CPU: 39.1% | Memory: 1237.41 MB
CPU: 62.5% | Memory: 1237.41 MB
CPU: 46.9% | Memory: 1237.41 MB
CPU: 81.6% | Memory: 1237.42 MB
CPU: 56.2% | Memory: 1237.42 MB
CPU: 53.8% | Memory: 1237.42 MB
CPU: 67.7% | Memory: 1237.42 MB
CPU: 51.6% | Memory: 1237.43 MB
CPU: 90.6% | Memory: 1237.44 MB
CPU: 90.6% | Memory: 1237.46 MB
CPU: 80.0% | Memory: 1237.47 MB
CPU: 64.1% | Memory: 1237.47 MB
CPU: 75.0% | Memory: 1237.47 MB
CPU: 98.5% | Memory: 1237.47 MB
CPU: 92.4% | Memory: 1237.44 MB
CPU: 57.8% | Memory: 1237.44 MB
CPU: 53.8% | Memory: 1237.45 MB
CPU: 60.0% | Memory: 1237.45 MB
CPU: 60.0% | Memory: 1237.45 MB
CPU: 73.8% | Memory: 1237.45 MB
CPU: 92.3% | Memory: 1237.45 MB
CPU: 58.5% | Memory: 1237.46 MB
CPU: 78.4% | Memory: 1237.46 MB
CPU: 95.3% | Memory: 1237.46 MB
CPU: 83.1% | Memory: 1237.47 MB
CPU: 87.7% | Memory: 1237.47 MB
CPU: 47.7% | Memory: 1236.28 MB
CPU: 55.4% | Memory: 1236.28 MB
CPU: 52.3% | Memory: 1236.30 MB
CPU: 53.8% | Memory: 1236.27 MB
CPU: 75.0% | Memory: 1236.27 MB
CPU: 78.1% | Memory: 1236.27 MB
CPU: 63.1% | Memory: 1236.27 MB
CPU: 81.2% | Memory: 1236.27 MB
CPU: 47.7% | Memory: 1236.27 MB
CPU: 59.4% | Memory: 1236.27 MB
CPU: 80.0% | Memory: 1236.27 MB
CPU: 62.5% | Memory: 1236.28 MB
CPU: 46.1% | Memory: 1236.28 MB
CPU: 66.2% | Memory: 1236.28 MB
CPU: 80.0% | Memory: 1236.29 MB
CPU: 66.1% | Memory: 1236.29 MB
CPU: 57.0% | Memory: 1236.29 MB
CPU: 50.0% | Memory: 1236.29 MB
CPU: 64.1% | Memory: 1236.26 MB
CPU: 64.7% | Memory: 1236.27 MB
CPU: 55.4% | Memory: 1236.27 MB
CPU: 37.5% | Memory: 1236.27 MB
CPU: 107.7% | Memory: 1239.02 MB
CPU: 63.1% | Memory: 1236.37 MB
CPU: 65.6% | Memory: 1236.38 MB
CPU: 63.1% | Memory: 1236.38 MB
CPU: 66.1% | Memory: 1236.38 MB
CPU: 79.7% | Memory: 1236.38 MB
CPU: 73.9% | Memory: 1236.39 MB
CPU: 73.8% | Memory: 1236.39 MB
CPU: 97.0% | Memory: 1236.39 MB
CPU: 95.3% | Memory: 1236.39 MB
CPU: 96.9% | Memory: 1211.66 MB
CPU: 76.6% | Memory: 1220.49 MB
CPU: 64.1% | Memory: 1220.53 MB
CPU: 53.1% | Memory: 1220.53 MB
CPU: 49.2% | Memory: 1220.53 MB
CPU: 72.4% | Memory: 1220.07 MB
CPU: 46.9% | Memory: 1220.07 MB
CPU: 75.0% | Memory: 1220.08 MB
CPU: 48.4% | Memory: 1220.08 MB
CPU: 58.5% | Memory: 1220.09 MB
CPU: 110.9% | Memory: 1220.84 MB
CPU: 75.4% | Memory: 1220.85 MB
CPU: 64.6% | Memory: 1220.85 MB
CPU: 52.3% | Memory: 1220.85 MB
CPU: 58.4% | Memory: 1220.85 MB
CPU: 58.4% | Memory: 1220.87 MB
CPU: 72.4% | Memory: 1220.87 MB
CPU: 66.1% | Memory: 1220.89 MB
CPU: 59.4% | Memory: 1220.89 MB
CPU: 37.5% | Memory: 1220.89 MB
CPU: 44.6% | Memory: 1220.89 MB
CPU: 42.2% | Memory: 1220.89 MB
CPU: 46.1% | Memory: 1220.89 MB
CPU: 61.6% | Memory: 1221.05 MB
CPU: 30.8% | Memory: 1221.05 MB
CPU: 43.8% | Memory: 1221.05 MB
CPU: 50.8% | Memory: 1221.06 MB
CPU: 55.4% | Memory: 1221.07 MB
CPU: 60.0% | Memory: 1221.08 MB
CPU: 70.3% | Memory: 1221.09 MB
CPU: 66.2% | Memory: 1221.18 MB
CPU: 58.4% | Memory: 1221.16 MB
CPU: 54.7% | Memory: 1221.16 MB
CPU: 53.7% | Memory: 1221.16 MB
CPU: 75.0% | Memory: 1221.16 MB
CPU: 89.3% | Memory: 1221.17 MB
CPU: 70.7% | Memory: 1221.17 MB
CPU: 68.8% | Memory: 1221.17 MB
CPU: 58.5% | Memory: 1221.17 MB
CPU: 76.9% | Memory: 1221.17 MB
